session_id,src_ip,dst_ip,src_port,dst_port,protocol,packet_count,byte_count,flow_count
192.168.1.38:None->67.174.154.26:None-6,192.168.1.38,67.174.154.26,,,6,56,3260,4
217.79.74.139:None->192.168.1.38:None-17,217.79.74.139,192.168.1.38,,,17,2,124,2
91.170.48.164:None->192.168.1.38:None-6,91.170.48.164,192.168.1.38,,,6,3,4022,1
192.168.1.38:None->91.170.48.164:None-6,192.168.1.38,91.170.48.164,,,6,2,108,1
217.42.82.216:None->192.168.1.38:None-17,217.42.82.216,192.168.1.38,,,17,76,98688,4
92.247.174.151:None->192.168.1.38:None-6,92.247.174.151,192.168.1.38,,,6,48,82112,5
192.168.1.38:None->92.247.174.151:None-6,192.168.1.38,92.247.174.151,,,6,42,2403,5
81.84.97.11:None->192.168.1.38:None-6,81.84.97.11,192.168.1.38,,,6,33,57162,5
192.168.1.38:None->81.84.97.11:None-6,192.168.1.38,81.84.97.11,,,6,31,1751,5
192.168.1.38:None->217.42.82.216:None-17,192.168.1.38,217.42.82.216,,,17,44,2831,3
192.168.1.38:None->104.208.16.90:None-6,192.168.1.38,104.208.16.90,,,6,8,8166,1
192.168.1.38:None->9.9.9.9:None-17,192.168.1.38,9.9.9.9,,,17,1,92,1
89.181.158.238:None->192.168.1.38:None-6,89.181.158.238,192.168.1.38,,,6,40,76000,4
83.219.212.56:None->192.168.1.38:None-6,83.219.212.56,192.168.1.38,,,6,1,54,1
104.208.16.90:None->192.168.1.38:None-6,104.208.16.90,192.168.1.38,,,6,3,261,1
71.183.90.8:None->192.168.1.38:None-6,71.183.90.8,192.168.1.38,,,6,4,51336,2
178.162.173.134:None->192.168.1.38:None-6,178.162.173.134,192.168.1.38,,,6,1,54,1
192.168.1.38:None->83.219.212.56:None-6,192.168.1.38,83.219.212.56,,,6,2,126,2
174.95.50.173:None->192.168.1.38:None-6,174.95.50.173,192.168.1.38,,,6,1,54,1
192.168.1.38:None->77.91.229.218:None-6,192.168.1.38,77.91.229.218,,,6,1,62,1
184.160.237.73:None->192.168.1.38:None-6,184.160.237.73,192.168.1.38,,,6,1,54,1
192.168.1.38:None->89.181.158.238:None-6,192.168.1.38,89.181.158.238,,,6,28,1589,3
192.168.1.38:None->140.82.113.25:None-6,192.168.1.38,140.82.113.25,,,6,1,59,1
82.154.111.172:None->192.168.1.38:None-6,82.154.111.172,192.168.1.38,,,6,1,54,1
192.168.1.38:None->71.183.90.8:None-6,192.168.1.38,71.183.90.8,,,6,3,196,1
192.168.1.38:None->217.79.74.139:None-17,192.168.1.38,217.79.74.139,,,17,1,71,1
192.168.1.38:None->178.162.173.134:None-6,192.168.1.38,178.162.173.134,,,6,1,63,1
192.168.1.38:None->188.51.226.235:None-6,192.168.1.38,188.51.226.235,,,6,1,63,1
192.168.1.38:None->184.160.237.73:None-6,192.168.1.38,184.160.237.73,,,6,1,63,1
192.168.1.38:None->174.95.50.173:None-6,192.168.1.38,174.95.50.173,,,6,1,63,1
67.174.154.26:None->192.168.1.38:None-6,67.174.154.26,192.168.1.38,,,6,81,136434,5
192.168.1.38:None->67.174.154.26:None-6,192.168.1.38,67.174.154.26,,,6,75,4320,5
217.79.74.139:None->192.168.1.38:None-17,217.79.74.139,192.168.1.38,,,17,2,124,2
91.170.48.164:None->192.168.1.38:None-6,91.170.48.164,192.168.1.38,,,6,3,4022,1
192.168.1.38:None->91.170.48.164:None-6,192.168.1.38,91.170.48.164,,,6,2,108,1
217.42.82.216:None->192.168.1.38:None-17,217.42.82.216,192.168.1.38,,,17,79,98874,5
92.247.174.151:None->192.168.1.38:None-6,92.247.174.151,192.168.1.38,,,6,63,111322,6
192.168.1.38:None->92.247.174.151:None-6,192.168.1.38,92.247.174.151,,,6,56,3193,6
81.84.97.11:None->192.168.1.38:None-6,81.84.97.11,192.168.1.38,,,6,40,67480,6
192.168.1.38:None->81.84.97.11:None-6,192.168.1.38,81.84.97.11,,,6,37,2109,6
192.168.1.38:None->217.42.82.216:None-17,192.168.1.38,217.42.82.216,,,17,44,2831,3
192.168.1.38:None->104.208.16.90:None-6,192.168.1.38,104.208.16.90,,,6,8,8166,1
192.168.1.38:None->9.9.9.9:None-17,192.168.1.38,9.9.9.9,,,17,1,92,1
89.181.158.238:None->192.168.1.38:None-6,89.181.158.238,192.168.1.38,,,6,41,76054,5
83.219.212.56:None->192.168.1.38:None-6,83.219.212.56,192.168.1.38,,,6,2,108,2
104.208.16.90:None->192.168.1.38:None-6,104.208.16.90,192.168.1.38,,,6,3,261,1
71.183.90.8:None->192.168.1.38:None-6,71.183.90.8,192.168.1.38,,,6,4,51336,2
178.162.173.134:None->192.168.1.38:None-6,178.162.173.134,192.168.1.38,,,6,2,108,2
192.168.1.38:None->83.219.212.56:None-6,192.168.1.38,83.219.212.56,,,6,3,189,3
174.95.50.173:None->192.168.1.38:None-6,174.95.50.173,192.168.1.38,,,6,1,54,1
192.168.1.38:None->77.91.229.218:None-6,192.168.1.38,77.91.229.218,,,6,1,62,1
184.160.237.73:None->192.168.1.38:None-6,184.160.237.73,192.168.1.38,,,6,1,54,1
192.168.1.38:None->89.181.158.238:None-6,192.168.1.38,89.181.158.238,,,6,28,1589,3
192.168.1.38:None->140.82.113.25:None-6,192.168.1.38,140.82.113.25,,,6,1,59,1
82.154.111.172:None->192.168.1.38:None-6,82.154.111.172,192.168.1.38,,,6,1,54,1
192.168.1.38:None->71.183.90.8:None-6,192.168.1.38,71.183.90.8,,,6,3,196,1
192.168.1.38:None->217.79.74.139:None-17,192.168.1.38,217.79.74.139,,,17,1,71,1
192.168.1.38:None->178.162.173.134:None-6,192.168.1.38,178.162.173.134,,,6,2,126,2
192.168.1.38:None->188.51.226.235:None-6,192.168.1.38,188.51.226.235,,,6,2,126,2
192.168.1.38:None->184.160.237.73:None-6,192.168.1.38,184.160.237.73,,,6,1,63,1
192.168.1.38:None->174.95.50.173:None-6,192.168.1.38,174.95.50.173,,,6,1,63,1
188.51.226.235:None->192.168.1.38:None-6,188.51.226.235,192.168.1.38,,,6,1,54,1
192.168.1.38:None->172.64.155.209:None-17,192.168.1.38,172.64.155.209,,,17,6,6525,1
172.64.155.209:None->192.168.1.38:None-17,172.64.155.209,192.168.1.38,,,17,4,264,1
67.174.154.26:None->192.168.1.38:None-6,67.174.154.26,192.168.1.38,,,6,102,168808,6
192.168.1.38:None->67.174.154.26:None-6,192.168.1.38,67.174.154.26,,,6,96,5488,6
217.79.74.139:None->192.168.1.38:None-17,217.79.74.139,192.168.1.38,,,17,2,124,2
91.170.48.164:None->192.168.1.38:None-6,91.170.48.164,192.168.1.38,,,6,3,4022,1
192.168.1.38:None->91.170.48.164:None-6,192.168.1.38,91.170.48.164,,,6,2,108,1
217.42.82.216:None->192.168.1.38:None-17,217.42.82.216,192.168.1.38,,,17,89,113314,6
92.247.174.151:None->192.168.1.38:None-6,92.247.174.151,192.168.1.38,,,6,87,150958,7
192.168.1.38:None->92.247.174.151:None-6,192.168.1.38,92.247.174.151,,,6,72,4091,7
81.84.97.11:None->192.168.1.38:None-6,81.84.97.11,192.168.1.38,,,6,42,70428,7
192.168.1.38:None->81.84.97.11:None-6,192.168.1.38,81.84.97.11,,,6,39,2217,7
