timestamp,src_ip,dst_ip,protocol,severity,confidence,attack_type,reason
16:39:41,192.168.1.38,185.172.52.95,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,99.237.64.62,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,148.66.95.195,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,193.2.92.102,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,116.147.250.120,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,80.85.118.135,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,213.130.79.172,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,202.47.39.159,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,188.252.198.205,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,52.119.118.153,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,115.69.33.239,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,83.76.53.77,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,5.29.8.176,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,45.64.163.242,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,81.196.174.94,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,210.10.76.110,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,121.98.195.223,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,103.188.95.217,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,80.98.53.187,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,93.152.220.158,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,24.76.221.230,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,173.239.198.176,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,93.159.3.21,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,91.148.239.155,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,45.144.115.139,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,88.9.158.166,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,153.92.40.154,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,103.221.74.96,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,95.75.0.207,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,185.147.213.8,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,93.86.214.55,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,173.239.218.151,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,93.152.220.166,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,109.118.62.44,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,149.22.95.67,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,191.101.31.121,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,103.183.25.149,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,149.22.81.104,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,149.22.91.179,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,60.234.184.126,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,191.101.31.121,192.168.1.38,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,60.234.184.126,192.168.1.38,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,149.22.95.67,192.168.1.38,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,191.205.123.102,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,158.173.154.87,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,158.173.154.87,192.168.1.38,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,57.144.124.145,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,142.250.70.74,192.168.1.38,17,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,57.144.124.145,192.168.1.38,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,142.250.70.74,17,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,5.79.83.193,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,191.205.123.102,192.168.1.38,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,46.1.132.238,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,89.142.105.99,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,183.171.191.11,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,88.97.203.120,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,77.161.81.66,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,221.127.143.187,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,221.127.143.187,192.168.1.38,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,104.16.103.112,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,57.144.124.192,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,34.143.74.2,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,57.144.124.192,192.168.1.38,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,34.143.74.2,192.168.1.38,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,155.4.91.200,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,174.2.7.204,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,104.208.16.90,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,104.208.16.90,192.168.1.38,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,78.37.43.246,17,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,101.56.133.113,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,209.87.169.168,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,78.37.43.246,192.168.1.38,17,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,104.16.102.112,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,104.16.102.112,192.168.1.38,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,13.107.213.48,192.168.1.38,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,13.107.213.48,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,86.124.207.105,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,89.142.57.233,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,89.142.57.233,192.168.1.38,1,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,5.38.8.205,192.168.1.38,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,78.190.233.34,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,37.231.33.25,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,49.204.19.13,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,185.157.163.136,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,104.36.180.69,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,182.188.236.133,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,15.223.200.213,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,45.64.163.6,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,103.99.246.2,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,77.172.129.208,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,45.250.246.134,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,45.139.214.187,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,45.14.193.70,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,202.176.4.58,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,202.136.89.77,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,78.186.137.164,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,45.152.150.4,192.168.1.38,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,45.154.152.7,192.168.1.38,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,66.56.81.159,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,87.10.178.29,192.168.1.38,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,88.157.95.229,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,35.186.224.35,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,35.186.224.35,192.168.1.38,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,114.36.221.63,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,66.56.81.159,192.168.1.38,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,88.157.95.229,192.168.1.38,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,114.36.221.63,192.168.1.38,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,5.38.8.205,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,45.152.150.4,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,45.154.152.7,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,87.10.178.29,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.36,224.0.0.251,17,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,104.28.1.30,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,78.29.165.201,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,176.100.43.50,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,220.233.191.155,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,120.229.191.99,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,99.225.124.209,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,104.28.154.48,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,187.212.106.164,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,151.70.57.182,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,109.102.145.66,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,115.138.61.150,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,103.57.84.63,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,93.45.80.99,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,86.172.234.38,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,151.36.46.8,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,151.48.46.231,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,77.137.71.219,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,185.65.135.179,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,193.46.242.248,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,217.217.112.169,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,49.15.117.213,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,88.171.39.237,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,46.152.248.236,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,90.217.183.240,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,216.246.31.28,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,86.98.213.160,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,193.138.56.69,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,188.26.215.114,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,86.96.88.227,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,142.250.70.106,17,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,142.250.70.106,192.168.1.38,17,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,37.19.5.155,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,37.19.5.139,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,108.159.46.106,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,192.168.1.255,17,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,35.186.224.22,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,35.186.224.22,192.168.1.38,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,41.139.157.111,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,224.0.0.22,2,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,41.139.157.111,192.168.1.38,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,104.18.39.21,192.168.1.38,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,104.18.39.21,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,113.249.83.71,17,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,106.206.197.223,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,194.5.154.141,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,1.224.123.115,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,136.144.42.97,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,89.99.220.37,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,122.167.98.80,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,45.128.38.148,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,45.10.152.214,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,158.173.241.9,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,79.37.232.172,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,191.119.217.24,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,93.70.190.202,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,51.39.246.155,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,94.156.206.218,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,89.134.26.75,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,94.250.111.72,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,185.192.71.79,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,45.120.37.157,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,216.169.140.64,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,67.220.85.116,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,78.190.233.34,192.168.1.38,1,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,192.168.1.38,46.158.28.232,17,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:41,46.158.28.232,192.168.1.38,17,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:58,67.174.154.26,192.168.1.38,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:58,192.168.1.38,67.174.154.26,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:58,217.42.82.216,192.168.1.38,17,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:58,92.247.174.151,192.168.1.38,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:58,192.168.1.38,92.247.174.151,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:58,81.84.97.11,192.168.1.38,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:58,192.168.1.38,81.84.97.11,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:58,192.168.1.38,217.42.82.216,17,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:58,89.181.158.238,192.168.1.38,6,LOW,50%,Unusual Access,Detected unusual network behavior
16:39:58,83.219.212.56,192.168.1.38,6,LOW,50%,Unusual Access,Detected unusual network behavior
